Date,WTLight,DLight,CTLight
11/7/22,10,10,10
11/8/22,10,10,10
11/9/22,10,10,10
11/14/22,10,10,10
11/15/22,10,10,10
11/16/22,10,10,10
11/17/22,10,10,10
11/22/22,9,9,9
11/23/22,9,9,9
11/28/22,7,9,9
11/29/22,5,8,8
11/30/22,4,6,5
12/1/22,3,4,4
12/5/22,1,4,4
12/6/22,1,4,3
12/7/22,1,4,3
12/8/22,1,3,3
12/12/22,1,2,2
12/13/22,0,2,2
12/14/22,0,2,2
12/15/22,0,2,2
12/19/22,0,2,1
12/20/22,0,1,1
12/21/22,0,1,1
12/22/22,0,1,0
12/23/22,0,1,0
12/24/22,0,1,0
12/25/22,0,0,0
